Ward,ONS Code,Electorate,2019const,newconst,abbreviation
Brighouse,E05001371,8387,Calder Valley,Halifax,BRI
Calder,E05001372,9456,Calder Valley,Calder Valley,CAL
Elland,E05001373,8633,Calder Valley,Calder Valley,ELL
Greetland And Stainland,E05001374,8499,Calder Valley,Calder Valley,GS
Hipperholme And Lightcliffe,E05001375,9110,Calder Valley,Batley and Hipperholme,HL
Illingworth And Mixenden,E05001376,9018,Halifax,Halifax,IM
Luddendenfoot,E05001377,8114,Calder Valley,Calder Valley,LUD
Northowram And Shelf,E05001378,9165,Halifax,Halifax,NS
Ovenden,E05001379,8196,Halifax,Halifax,OVE
Park,E05001380,9166,Halifax,Halifax,PAR
Rastrick,E05001381,8389,Calder Valley,Halifax,RAS
Ryburn,E05001382,9068,Calder Valley,Calder Valley,BRI
Skircoat,E05001383,9688,Halifax,Halifax,SKI
Sowerby Bridge,E05001384,8793,Halifax,Calder Valley,SB
Todmorden,E05001385,9168,Calder Valley,Calder Valley,TOD
Town,E05001386,8793,Halifax,Halifax,TOW
Warley,E05001387,8907,Halifax,Calder Valley,WAR